,x
1,NA
2,NA
3,NA
4,NA
5,NA
6,NA
7,NA
8,NA
9,NA
10,NA
11,NA
12,NA
13,NA
14,NA
15,NA
16,NA
17,NA
18,NA
19,NA
20,NA
21,NA
22,NA
23,NA
24,NA
25,NA
26,NA
27,NA
28,NA
29,NA
30,NA
31,NA
32,NA
33,NA
34,NA
35,NA
36,NA
37,NA
38,NA
39,NA
40,NA
41,NA
42,NA
43,NA
44,2
45,8
46,1
47,NA
48,NA
49,NA
50,1
51,NA
52,NA
53,NA
54,NA
55,NA
56,NA
57,NA
58,NA
59,NA
60,NA
61,NA
62,NA
63,NA
64,NA
65,NA
66,NA
67,NA
68,NA
69,NA
70,NA
71,NA
72,NA
73,NA
74,NA
75,NA
76,NA
77,NA
78,NA
79,NA
80,NA
81,NA
82,NA
83,NA
84,NA
85,NA
86,NA
87,NA
88,NA
89,NA
90,NA
91,NA
92,NA
93,NA
94,NA
95,NA
96,NA
97,NA
98,NA
99,NA
100,NA
101,NA
102,NA
103,NA
104,NA
105,NA
106,NA
107,NA
108,NA
109,NA
110,NA
111,NA
112,NA
113,NA
114,NA
115,NA
116,NA
117,NA
118,NA
119,NA
120,NA
121,NA
122,NA
123,NA
124,NA
125,NA
126,NA
127,NA
128,NA
129,NA
130,NA
131,NA
132,NA
133,NA
134,NA
135,NA
136,NA
137,NA
138,NA
139,NA
140,NA
141,NA
142,NA
143,NA
144,NA
145,NA
146,NA
147,NA
148,NA
149,NA
150,NA
151,NA
152,NA
153,NA
154,NA
155,NA
156,NA
157,NA
158,NA
159,NA
160,NA
161,NA
162,NA
163,NA
164,NA
165,NA
166,NA
167,NA
168,NA
169,NA
170,NA
171,NA
172,NA
173,NA
174,NA
175,NA
176,NA
177,NA
178,NA
179,NA
180,NA
181,NA
182,NA
183,NA
184,NA
185,NA
186,NA
187,NA
188,NA
189,NA
190,NA
191,NA
192,NA
193,NA
194,NA
195,NA
196,NA
197,NA
198,NA
199,NA
200,NA
201,NA
202,NA
203,NA
204,NA
205,NA
206,NA
207,NA
208,NA
209,NA
210,NA
211,NA
212,NA
213,NA
214,NA
215,NA
216,NA
217,NA
218,NA
219,NA
220,NA
221,NA
222,NA
223,NA
224,NA
225,NA
226,NA
227,NA
228,NA
229,NA
230,NA
231,NA
232,NA
233,NA
234,NA
235,NA
236,NA
237,NA
238,NA
239,NA
240,NA
241,NA
242,NA
243,NA
244,NA
245,NA
246,NA
247,NA
248,NA
249,NA
250,NA
251,NA
252,NA
253,NA
254,NA
255,NA
256,NA
257,NA
258,NA
259,NA
260,NA
261,NA
262,NA
263,NA
264,NA
265,NA
266,NA
267,NA
268,NA
269,NA
270,NA
271,NA
272,NA
273,NA
274,NA
275,NA
276,NA
277,NA
278,NA
279,NA
280,NA
281,NA
282,NA
283,NA
284,NA
285,NA
286,NA
287,NA
288,NA
289,NA
290,NA
291,NA
292,NA
293,NA
294,NA
295,NA
296,NA
297,NA
298,NA
299,NA
300,NA
301,NA
302,NA
303,NA
304,NA
305,NA
306,NA
307,NA
308,NA
309,NA
310,NA
311,NA
312,NA
313,NA
314,NA
315,NA
316,NA
317,NA
318,NA
319,NA
320,NA
321,NA
322,NA
323,NA
324,NA
325,NA
326,NA
327,NA
328,NA
329,NA
330,NA
331,NA
332,NA
333,NA
334,NA
335,NA
336,NA
337,NA
338,NA
339,NA
340,NA
341,NA
342,NA
343,NA
344,NA
345,NA
346,NA
347,NA
348,NA
349,NA
350,NA
351,NA
352,NA
353,NA
354,NA
355,NA
356,NA
357,NA
358,NA
359,NA
360,NA
361,NA
362,NA
363,NA
364,NA
365,NA
366,NA
367,NA
368,NA
369,NA
370,NA
371,NA
372,NA
373,NA
374,NA
375,NA
376,NA
377,NA
378,NA
379,NA
380,NA
381,NA
382,NA
383,NA
384,NA
385,NA
386,NA
387,NA
388,NA
389,NA
390,NA
391,NA
392,NA
393,NA
394,NA
395,NA
396,NA
397,NA
398,NA
399,NA
400,NA
401,NA
402,NA
403,NA
404,NA
405,NA
406,NA
407,NA
408,NA
409,NA
410,NA
411,NA
412,NA
413,NA
414,NA
415,NA
416,NA
417,NA
418,NA
419,NA
420,NA
421,NA
422,NA
423,NA
424,NA
425,NA
426,NA
427,NA
428,NA
429,NA
430,NA
431,NA
432,NA
433,NA
434,NA
435,NA
436,NA
437,NA
438,NA
439,NA
440,NA
441,NA
442,NA
443,NA
444,NA
445,NA
446,NA
447,NA
448,NA
449,NA
450,NA
451,NA
452,NA
453,NA
454,NA
455,NA
456,NA
457,NA
458,NA
459,NA
460,NA
461,NA
462,NA
463,NA
464,NA
465,NA
466,NA
467,NA
468,NA
469,NA
470,NA
471,NA
472,1
473,NA
474,2
475,NA
476,NA
477,NA
478,NA
479,1
480,NA
481,NA
482,NA
483,2
484,1
485,1
486,NA
487,1
488,NA
489,NA
490,NA
491,NA
492,NA
493,NA
494,NA
495,NA
496,NA
497,NA
498,NA
499,NA
500,NA
501,NA
502,NA
503,NA
504,NA
505,NA
506,NA
507,NA
508,NA
509,2
510,NA
511,NA
512,NA
513,NA
514,NA
515,4
516,3
517,28
518,8
519,22
520,407
521,766
522,590
523,1127
524,151
525,42
526,85
527,3
528,110
529,42
530,20
531,5
532,16
533,1
534,NA
535,3
536,3
537,11
538,3
539,NA
540,NA
541,3
542,NA
543,NA
544,NA
545,NA
546,NA
547,NA
548,NA
549,1
550,NA
551,NA
552,NA
553,NA
554,1
555,NA
556,NA
557,NA
558,NA
559,NA
560,NA
561,1
562,2
563,2
564,NA
565,12
566,NA
567,3
568,NA
569,2
570,NA
571,NA
572,5
573,2
574,NA
575,12
576,4
577,NA
578,NA
579,2
580,NA
581,4
582,NA
583,1
584,2
585,2
586,NA
587,NA
588,NA
589,4
590,NA
591,NA
592,35
593,4
594,NA
595,NA
596,NA
597,NA
598,NA
599,NA
600,NA
601,NA
602,3
603,NA
604,NA
605,NA
606,3
607,NA
608,NA
609,NA
610,NA
611,NA
612,NA
613,NA
614,NA
615,NA
616,NA
617,NA
618,3
619,NA
620,NA
621,NA
622,NA
623,18
624,NA
625,NA
626,NA
627,NA
628,NA
629,NA
630,NA
631,NA
632,NA
633,NA
634,NA
635,NA
636,1
637,1
638,1
639,72
640,5
641,37
642,48
643,NA
644,33
645,5
646,NA
647,NA
648,NA
649,NA
650,NA
651,NA
652,NA
653,NA
654,NA
655,NA
656,NA
657,NA
658,NA
659,NA
660,NA
661,NA
662,NA
663,NA
664,NA
665,NA
666,NA
667,NA
668,NA
669,NA
670,NA
671,4
672,NA
673,NA
674,NA
675,NA
676,NA
677,NA
678,NA
679,NA
680,NA
681,NA
682,NA
683,NA
684,NA
685,2
686,NA
687,8
688,8
689,NA
690,NA
691,9
692,3
693,NA
694,3
695,4
696,1
697,1
698,NA
699,NA
700,NA
701,NA
702,NA
703,NA
704,NA
705,NA
706,NA
707,NA
708,NA
709,NA
710,2
711,1
712,NA
713,NA
714,NA
715,NA
716,NA
717,NA
718,3
719,NA
720,57
721,NA
722,NA
723,NA
724,3
725,1
726,1
727,7
728,5
729,1
730,232
731,154
732,11
733,58
734,12
735,6
736,1
737,NA
738,1
739,2
740,1
741,NA
742,NA
743,3
744,NA
745,1
746,NA
747,NA
748,NA
749,38
750,1
751,NA
752,NA
753,NA
754,NA
755,NA
756,NA
757,NA
758,1
759,1
760,NA
761,NA
762,NA
763,NA
764,NA
765,NA
766,NA
767,NA
768,NA
769,NA
770,NA
771,NA
772,NA
773,NA
774,NA
775,1
776,1
777,NA
778,3
779,NA
780,5
781,3
782,NA
783,3
784,NA
785,NA
786,NA
787,NA
788,NA
789,NA
790,3
791,NA
792,NA
793,2
794,NA
795,25
796,2
797,3
798,NA
799,NA
800,NA
801,NA
802,1
803,NA
804,NA
805,NA
806,1
807,NA
808,NA
809,NA
810,1
811,NA
812,NA
813,NA
814,NA
815,1
816,NA
817,NA
818,NA
819,NA
820,NA
821,NA
822,NA
823,NA
824,NA
825,NA
826,NA
827,NA
828,1
829,NA
830,NA
831,NA
832,NA
833,NA
834,NA
835,1
836,NA
837,3
838,NA
839,NA
840,20
841,33
842,41
843,18
844,1
845,5
846,1
847,5
848,3
849,2
850,1
851,NA
852,NA
853,NA
854,NA
855,NA
856,NA
857,NA
858,NA
859,NA
860,NA
861,NA
862,NA
863,NA
864,NA
865,NA
866,NA
867,NA
868,NA
869,NA
870,NA
871,NA
872,NA
873,NA
874,NA
875,NA
876,NA
877,NA
878,NA
879,3
880,NA
881,NA
882,NA
883,NA
884,2
885,3
886,NA
887,NA
888,NA
889,NA
890,NA
891,NA
892,NA
893,NA
894,NA
895,NA
896,4
897,11
898,5
899,35
900,9
901,57
902,3
903,6
904,2
905,8
906,3
907,NA
908,NA
909,9
910,3
911,NA
912,NA
913,1
914,NA
915,NA
916,NA
917,NA
918,NA
919,NA
920,NA
921,NA
922,NA
923,2
924,NA
925,1
926,1
927,NA
928,NA
929,NA
930,NA
931,NA
932,3
933,NA
934,1
935,3
936,NA
937,4
938,NA
939,NA
940,2
941,7
942,26
943,226
944,415
945,430
946,11
947,51
948,5
949,3
950,2
951,NA
952,2
953,NA
954,NA
955,1
956,NA
957,NA
958,1
959,NA
960,NA
961,NA
962,NA
963,NA
964,NA
965,NA
966,NA
967,NA
968,NA
969,NA
970,NA
971,NA
972,NA
973,NA
974,NA
975,NA
976,NA
977,NA
978,2
979,NA
980,NA
981,1
982,NA
983,NA
984,NA
985,1
986,NA
987,NA
988,NA
989,NA
990,NA
991,NA
992,NA
993,NA
994,1
995,NA
996,4
997,2
998,4
999,NA
1000,1
1001,4
1002,2
1003,7
1004,16
1005,1
1006,1
1007,NA
1008,NA
1009,NA
1010,NA
1011,NA
1012,NA
1013,NA
1014,NA
1015,NA
1016,NA
1017,NA
1018,NA
